epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.305,2.43711,3.19433,1.95764,0.01397,0.79756,0.11507,0.02713,2.34526,3.32206,1.88469,0.00046,0.00046,0.00046
2,377.291,2.3324,2.41548,1.73338,0.01406,0.80244,0.08766,0.0295,2.44878,3.1539,1.94226,0.000921388,0.000921388,0.000921388
3,560.643,2.251,2.27001,1.67337,0.24785,0.29756,0.1627,0.04847,2.27958,2.80508,1.93953,0.00136377,0.00136377,0.00136377
4,796.795,2.29004,2.28767,1.69068,0.26987,0.23168,0.16619,0.05595,2.33837,2.75016,1.96965,0.00178714,0.00178714,0.00178714
5,1039.64,2.23699,2.29274,1.70136,0.3841,0.28293,0.25674,0.09154,2.41378,2.82375,2.00038,0.0018416,0.0018416,0.0018416
6,1277.92,2.23986,2.13301,1.6923,0.22444,0.35854,0.16523,0.05284,2.3447,3.18869,2.01525,0.001802,0.001802,0.001802
7,1495.24,2.24438,2.10993,1.70182,0.42766,0.28537,0.25954,0.09002,2.33174,2.65673,2.05973,0.0017624,0.0017624,0.0017624
8,1672.11,2.18499,2.04643,1.69053,0.52114,0.40244,0.42305,0.16607,2.14183,2.12711,1.86221,0.0017228,0.0017228,0.0017228
9,1849.73,2.15466,1.98396,1.66958,0.54711,0.41951,0.45868,0.17787,2.10583,2.10344,1.76336,0.0016832,0.0016832,0.0016832
10,2034.25,2.17357,1.90156,1.6282,0.60555,0.36585,0.39876,0.15048,2.09372,2.4291,1.80727,0.0016436,0.0016436,0.0016436
11,2306.25,2.15107,1.93696,1.65091,0.61273,0.46585,0.49729,0.1967,2.11862,2.02034,1.7522,0.001604,0.001604,0.001604
12,2506.31,2.16092,1.86384,1.60368,0.69406,0.49024,0.56489,0.22453,2.02236,1.97723,1.74617,0.0015644,0.0015644,0.0015644
13,2710.53,2.15689,1.87286,1.63489,0.67148,0.49024,0.54753,0.23356,2.00739,1.90755,1.71041,0.0015248,0.0015248,0.0015248
14,2932.56,2.11445,1.81847,1.59304,0.67467,0.47073,0.54694,0.22121,2.07917,1.99172,1.83574,0.0014852,0.0014852,0.0014852
15,3141.94,2.03947,1.7352,1.54529,0.56831,0.4,0.43093,0.1829,2.16341,2.17256,1.88273,0.0014456,0.0014456,0.0014456
16,3374.12,2.08206,1.77142,1.59272,0.58723,0.44415,0.49239,0.21565,2.00741,1.96018,1.67653,0.001406,0.001406,0.001406
17,3620.09,2.06722,1.786,1.58858,0.65931,0.5192,0.58758,0.25767,1.96164,1.8391,1.65563,0.0013664,0.0013664,0.0013664
18,3879.52,2.05924,1.71887,1.5517,0.72829,0.57561,0.66743,0.28934,2.00734,1.65589,1.65195,0.0013268,0.0013268,0.0013268
19,4125.88,2.0174,1.71214,1.5545,0.62179,0.43171,0.49646,0.19605,2.01612,2.11177,1.69008,0.0012872,0.0012872,0.0012872
20,4348,2.04297,1.70145,1.54503,0.71254,0.53415,0.61784,0.26687,2.05421,1.73543,1.72304,0.0012476,0.0012476,0.0012476
21,4569.03,2.0115,1.59635,1.51845,0.78172,0.55903,0.67627,0.30531,1.9372,1.63591,1.63678,0.001208,0.001208,0.001208
22,4780.96,2.00469,1.60653,1.50415,0.75404,0.63659,0.72418,0.34479,1.8302,1.49423,1.58655,0.0011684,0.0011684,0.0011684
23,4991.19,2.02495,1.61725,1.536,0.77772,0.60488,0.72134,0.35483,1.79904,1.51728,1.56491,0.0011288,0.0011288,0.0011288
24,5205.9,1.94741,1.53185,1.47344,0.79917,0.59205,0.71559,0.32798,1.8915,1.53445,1.61103,0.0010892,0.0010892,0.0010892
25,5411.49,1.97607,1.54566,1.50039,0.80601,0.55736,0.69604,0.32179,1.89864,1.60067,1.65286,0.0010496,0.0010496,0.0010496
26,5612.76,1.9171,1.49822,1.49202,0.807,0.62195,0.7159,0.34241,1.85561,1.48961,1.59525,0.00101,0.00101,0.00101
27,5819.23,1.96562,1.52132,1.47924,0.78876,0.62683,0.74321,0.36245,1.8241,1.4753,1.54554,0.0009704,0.0009704,0.0009704
28,6028.63,1.91477,1.46537,1.455,0.8014,0.59512,0.71851,0.3686,1.75037,1.51431,1.53509,0.0009308,0.0009308,0.0009308
29,6236.63,1.91816,1.45121,1.46135,0.8175,0.68537,0.77698,0.3758,1.83536,1.36952,1.54099,0.0008912,0.0008912,0.0008912
30,6454.96,1.90972,1.42901,1.45617,0.77983,0.7,0.77779,0.38888,1.76711,1.29765,1.48732,0.0008516,0.0008516,0.0008516
31,6665.09,1.90595,1.41533,1.44424,0.84585,0.67317,0.7832,0.38111,1.76958,1.33314,1.4942,0.000812,0.000812,0.000812
32,6882.92,1.85526,1.3771,1.43429,0.82228,0.73659,0.81653,0.4138,1.74107,1.24903,1.48651,0.0007724,0.0007724,0.0007724
33,7098.25,1.87537,1.36868,1.42314,0.84661,0.70976,0.81579,0.42612,1.68596,1.22454,1.44342,0.0007328,0.0007328,0.0007328
34,7307.62,1.83172,1.34597,1.39852,0.83038,0.69255,0.80657,0.41892,1.69118,1.19027,1.45765,0.0006932,0.0006932,0.0006932
35,7511.31,1.84734,1.35871,1.40203,0.84098,0.73659,0.81465,0.40871,1.73163,1.20951,1.47867,0.0006536,0.0006536,0.0006536
36,7717.01,1.80463,1.346,1.38455,0.81405,0.70976,0.81887,0.42214,1.64904,1.18496,1.42171,0.000614,0.000614,0.000614
37,7940.22,1.82829,1.36339,1.4001,0.83244,0.77551,0.86339,0.47945,1.57914,1.06732,1.38669,0.0005744,0.0005744,0.0005744
38,8151.08,1.78898,1.28925,1.39332,0.84998,0.76829,0.85863,0.4774,1.5714,1.08527,1.38203,0.0005348,0.0005348,0.0005348
39,8370.32,1.78481,1.27275,1.38699,0.88501,0.75122,0.85932,0.47924,1.57842,1.05389,1.37539,0.0004952,0.0004952,0.0004952
40,8586.11,1.76999,1.21974,1.36257,0.88225,0.79756,0.88153,0.50708,1.52713,0.98503,1.33615,0.0004556,0.0004556,0.0004556
41,8803.04,1.79641,1.32975,1.42282,0.85007,0.73294,0.83561,0.4714,1.56247,1.1053,1.36468,0.000416,0.000416,0.000416
42,9013.73,1.72487,1.2023,1.38077,0.87306,0.77561,0.87048,0.5013,1.5085,1.02796,1.34186,0.0003764,0.0003764,0.0003764
43,9283.97,1.72845,1.20498,1.39807,0.914,0.75176,0.8865,0.51641,1.48444,0.98538,1.32879,0.0003368,0.0003368,0.0003368
44,9569.22,1.70574,1.17676,1.36785,0.89611,0.82045,0.90446,0.52565,1.48993,0.93732,1.31612,0.0002972,0.0002972,0.0002972
45,9800.1,1.72883,1.17541,1.37241,0.91296,0.81862,0.91623,0.52595,1.49241,0.94717,1.31947,0.0002576,0.0002576,0.0002576
46,10067.2,1.67397,1.15416,1.36229,0.8968,0.84634,0.92119,0.53557,1.46742,0.91893,1.3078,0.000218,0.000218,0.000218
47,10401.4,1.65997,1.12041,1.34376,0.9219,0.83415,0.92494,0.54472,1.44086,0.9005,1.29743,0.0001784,0.0001784,0.0001784
48,10729.2,1.63317,1.07953,1.32377,0.91261,0.84054,0.92856,0.55023,1.4256,0.88396,1.28668,0.0001388,0.0001388,0.0001388
49,11097.6,1.61982,1.10694,1.32578,0.90574,0.86098,0.9297,0.55812,1.4164,0.8716,1.27616,9.92e-05,9.92e-05,9.92e-05
50,11489.1,1.63868,1.09017,1.32506,0.92622,0.83171,0.93246,0.56092,1.40162,0.85349,1.26484,5.96e-05,5.96e-05,5.96e-05
